Año;Fase;Nivel;Concepto;Concepto_Padre;Unidad;Valor
2023;Vigente;2;Funcionamiento;Total PGN;Miles mm COP;258.069,351
2023;Vigente;2;Funcionamiento como % del PIB;Funcionamiento;% PIB;0,163
2023;Vigente;3;Gastos de Personal;Funcionamiento;Miles mm COP;47.008,858
2023;Vigente;3;Adquisición de Bienes y Servicios;Funcionamiento;Miles mm COP;11.755,103
2023;Vigente;3;Transferencias;Funcionamiento;Miles mm COP;195.733,915
2023;Vigente;4;SGP;Transferencias;Miles mm COP;54.936,408
2023;Vigente;4;Pensiones;Transferencias;Miles mm COP;55.740,759
2023;Vigente;4;IES Pública sin Pensiones;Transferencias;Miles mm COP;5.217,285
2023;Vigente;4;Resto;Transferencias;Miles mm COP;79.839,463
2023;Vigente;3;Gastos de Comercialización y Producción;Funcionamiento;Miles mm COP;1.365,020
2023;Vigente;3;Adquisición de Activos Financieros;Funcionamiento;Miles mm COP;655,720
2023;Vigente;3;Disminución de Pasivos;Funcionamiento;Miles mm COP;423,485
2023;Vigente;3;Gastos por Tributos, Multas, Sanciones e Intereses de Mora;Funcionamiento;Miles mm COP;1.127,250
2023;Vigente;2;Servicio de la Deuda;Total PGN;Miles mm COP;77.997,999
2023;Vigente;2;Servicio de la Deuda como % del PIB;Servicio de la Deuda;% PIB;0,049
2023;Vigente;3;Servicio de la Deuda Pública Externa;Servicio de la Deuda;Miles mm COP;24.018,988
2023;Vigente;4;Principal - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;10.723,022
2023;Vigente;4;Intereses - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;13.182,204
2023;Vigente;4;Comisiones y Otros Gastos - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;113,762
2023;Vigente;3;Servicio de la Deuda Pública Interna;Servicio de la Deuda;Miles mm COP;53.979,011
2023;Vigente;4;Principal - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;21.219,296
2023;Vigente;4;Intereses - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;28.951,400
2023;Vigente;4;Comisiones y Otros Gastos - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;295,177
2023;Vigente;3;Fondo de Contingencias;Servicio de la Deuda;Miles mm COP;3.513,138
2023;Vigente;2;Inversión;Total PGN;Miles mm COP;74.222,233
2023;Vigente;2;Inversión como % del PIB;Inversión;% PIB;0,047
2023;Comprometido;1;Total PGN;;Miles mm COP;272.000,641
2023;Comprometido;1;PGN como % del PIB;Total PGN;% PIB;0,171
2023;Comprometido;2;Funcionamiento;Total PGN;Miles mm COP;208.393,555
